location,Bimbaletes Aguascalientes (El Álamo),Bimbaletes Aguascalientes (El Álamo)
lat,21.66655,21.66655
lon,-102.18750,-102.18750
asl,1949.318,1949.318
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Bimbaletes Aguascalientes (El Álamo) Wind Speed [80 m],Bimbaletes Aguascalientes (El Álamo) Wind Direction [80 m]
20200504T0000,21.03152,96.881714
20200504T0100,21.398056,102.63336
20200504T0200,20.780453,104.03624
20200504T0300,17.377226,103.172554
20200504T0400,12.9249525,102.87499
20200504T0500,9.605998,102.99461
20200504T0600,7.771331,103.392494
20200504T0700,9.83268,66.250496
20200504T0800,9.028754,66.501434
20200504T0900,5.95906,64.98311
20200504T1000,2.9024127,82.874985
20200504T1100,3.2399998,180.0
20200504T1200,4.198285,210.96376
20200504T1300,3.4152596,288.43497
20200504T1400,3.8268526,311.1859
20200504T1500,4.3349743,318.36646
20200504T1600,4.6938257,302.4712
20200504T1700,6.6087217,299.35776
20200504T1800,8.4963045,306.38437
20200504T1900,8.534353,332.35403
20200504T2000,11.91812,25.016876
20200504T2100,18.626305,48.918243
20200504T2200,20.674156,54.92624
20200504T2300,20.073025,57.449997
20200505T0000,18.043148,61.38954
20200505T0100,16.42247,63.996643
20200505T0200,13.708391,66.8014
20200505T0300,10.30883,65.224846
20200505T0400,6.989936,55.491463
20200505T0500,5.3517847,42.27368
20200505T0600,4.510787,28.610443
20200505T0700,2.8116899,140.19443
20200505T0800,5.1165614,140.71059
20200505T0900,4.6800003,157.38013
20200505T1000,3.671294,191.30994
20200505T1100,4.379589,260.5377
20200505T1200,3.671294,281.30994
20200505T1300,1.4399999,270.0
20200505T1400,0.8049845,63.43495
20200505T1500,1.8,53.130096
20200505T1600,2.0364676,44.999985
20200505T1700,4.829907,63.43495
20200505T1800,8.373386,64.53666
20200505T1900,12.413477,60.46122
20200505T2000,23.584808,77.66091
20200505T2100,23.584808,102.33909
20200505T2200,23.667091,116.175285
20200505T2300,22.97522,125.43331
20200506T0000,20.364674,135.0
20200506T0100,18.844202,136.54816
20200506T0200,18.0,126.869896
20200506T0300,17.533146,109.17901
20200506T0400,19.110542,93.23969
20200506T0500,19.443333,88.93908
20200506T0600,20.721119,82.010666
20200506T0700,23.241617,73.8108
20200506T0800,11.090103,54.2461
20200506T0900,12.015589,81.38435
20200506T1000,15.4800005,89.99999
20200506T1100,18.359999,89.99999
20200506T1200,20.188908,86.93351
20200506T1300,22.963936,80.980675
20200506T1400,24.18707,75.34325
20200506T1500,25.045238,71.56504
20200506T1600,26.64,71.075356
20200506T1700,28.348713,72.255325
20200506T1800,28.291512,75.25644
20200506T1900,29.519999,77.31962
20200506T2000,33.04361,82.48785
20200506T2100,30.633865,87.30572
20200506T2200,32.76791,88.740944
20200506T2300,33.497414,88.15238
20200507T0000,33.168877,86.88916
20200507T0100,32.91983,84.35175
20200507T0200,31.205997,78.69006
20200507T0300,29.035288,72.688354
20200507T0400,27.276978,67.49647
20200507T0500,24.967499,65.282555
20200507T0600,24.344624,66.46764
20200507T0700,24.269983,69.14554
20200507T0800,12.074766,63.43495
20200507T0900,13.708391,76.32868
20200507T1000,13.75558,83.99099
20200507T1100,12.964998,91.59113
20200507T1200,11.966953,96.911224
20200507T1300,10.239453,100.124664
20200507T1400,8.12197,102.80426
20200507T1500,7.628263,109.29004
20200507T1600,8.0899935,122.27564
20200507T1700,8.669949,131.63353
20200507T1800,8.669949,138.36646
20200507T1900,9.0,143.1301
20200507T2000,15.158522,85.91438
20200507T2100,18.947083,104.30027
20200507T2200,20.991426,112.16634
20200507T2300,19.33639,118.951
20200508T0000,21.533897,128.21103
20200508T0100,22.159746,136.97493
20200508T0200,21.26744,146.04094
20200508T0300,18.204042,155.46227
20200508T0400,14.759999,167.31961
20200508T0500,11.159999,180.0
20200508T0600,9.531505,190.88553
20200508T0700,10.464797,206.56505
20200508T0800,16.641972,231.14662
20200508T0900,20.316889,240.25513
20200508T1000,21.629978,251.56506
20200508T1100,19.45333,267.8789
20200508T1200,17.414474,299.74487
20200508T1300,18.161278,309.36932
20200508T1400,17.826363,313.36343
20200508T1500,16.563911,312.35745
20200508T1600,16.363178,309.64417
20200508T1700,17.373497,304.01935
20200508T1800,17.727943,299.16763
20200508T1900,19.878391,305.41705
20200508T2000,7.2,126.869896
20200508T2100,1.08,180.0
20200508T2200,2.0991426,210.96376
20200508T2300,4.072935,225.0
20200509T0000,6.1094027,225.0
20200509T0100,7.386582,226.97495
20200509T0200,8.78872,235.00798
20200509T0300,6.489992,250.55997
20200509T0400,5.0142193,248.9625
20200509T0500,4.510787,241.38954
20200509T0600,3.6179552,264.28943
20200509T0700,1.8,306.8699
20200509T0800,8.714677,38.290146
20200509T0900,8.669949,48.366455
20200509T1000,9.693296,58.671295
20200509T1100,8.654986,73.07248
20200509T1200,6.725354,74.47588
20200509T1300,3.096837,54.46232
20200509T1400,1.2979984,326.30994
20200509T1500,3.8773184,291.8014
20200509T1600,6.5693827,279.46234
20200509T1700,8.28,270.0
20200509T1800,10.799999,270.0
20200509T1900,12.245294,271.6847
20200509T2000,10.00256,300.25644
20200509T2100,9.983106,334.359
20200509T2200,9.387651,32.47119
20200509T2300,14.33234,64.722275
20200510T0000,16.946787,77.73522
20200510T0100,20.163212,88.97697
20200510T0200,22.691425,91.8183
20200510T0300,23.499481,95.27389
20200510T0400,21.707731,95.71059
20200510T0500,19.493261,94.23639
20200510T0600,14.764389,91.39717
20200510T0700,12.620554,86.72951
20200510T0800,6.8399997,89.99999
20200510T0900,5.04,89.99999
20200510T1000,3.319036,139.3987
20200510T1100,2.3051248,218.65982
20200510T1200,3.96,270.0
20200510T1300,5.3517847,289.6538
20200510T1400,4.896529,287.10272
20200510T1500,3.671294,281.30994
20200510T1600,1.8,270.0
20200510T1700,0.8049845,296.56506
20200510T1800,1.08,360.0
20200510T1900,5.95906,64.98311
20200510T2000,16.418526,74.74488
20200510T2100,29.122198,81.46923
20200510T2200,34.651752,85.82956
20200510T2300,37.815426,88.36342
20200511T0000,35.656357,91.7357
20200511T0100,34.651752,94.170425
20200511T0200,31.32207,90.65854
20200511T0300,29.574827,86.51068
20200511T0400,26.836306,83.06565
20200511T0500,24.216522,78.85711
20200511T0600,20.969805,78.11134
20200511T0700,17.811815,75.96376
20200511T0800,7.5685663,92.72631
20200511T0900,6.297428,120.963745
20200511T1000,7.208994,177.13759
20200511T1100,10.390226,194.03624
20200511T1200,11.792404,211.26373
20200511T1300,12.768586,229.57393
20200511T1400,13.979872,235.49149
20200511T1500,16.1198,240.57254
20200511T1600,17.873556,242.40271
20200511T1700,20.326454,247.0679
20200511T1800,23.452555,252.1213
20200511T1900,24.923338,259.177
20200511T2000,24.522316,266.63354
20200511T2100,22.553936,278.25946
20200511T2200,21.746502,289.3348
20200511T2300,20.774214,297.89728