location,Corral de Barrancas,Corral de Barrancas
lat,26.99988,26.99988
lon,-102.65625,-102.65625
asl,1315.492,1315.492
variable,Wind Speed,Wind Direction
unit,km/h,Â°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Corral de Barrancas Wind Speed [80 m],Corral de Barrancas Wind Direction [80 m]
20200420T0000,4.8965297,53.97262
20200420T0100,3.8773184,68.19859
20200420T0200,2.9024127,82.874985
20200420T0300,2.16,89.99999
20200420T0400,1.609969,63.43495
20200420T0500,1.5273507,44.999985
20200420T0600,1.9386592,21.801407
20200420T0700,5.04,89.99999
20200420T0800,2.6208394,105.9454
20200420T0900,0.71999997,180.0
20200420T1000,0.71999997,180.0
20200420T1100,3.6,180.0
20200420T1200,5.315336,208.30077
20200420T1300,7.7879906,236.30994
20200420T1400,10.636766,246.0375
20200420T1500,13.32,251.07536
20200420T1600,14.408997,257.00537
20200420T1700,13.797912,262.50415
20200420T1800,12.964998,268.40887
20200420T1900,11.901798,273.46823
20200420T2000,8.905908,284.03625
20200420T2100,4.6938257,302.4712
20200420T2200,2.52,360.0
20200420T2300,4.0249224,63.43495
20200421T0000,5.8048253,82.874985
20200421T0100,6.4799995,89.99999
20200421T0200,7.072878,104.74355
20200421T0300,7.5942082,121.429565
20200421T0400,8.161764,138.57634
20200421T0500,8.217153,151.18921
20200421T0600,7.072878,165.25644
20200421T0700,6.28713,166.75948
20200421T0800,4.1046314,195.25513
20200421T0900,4.0249224,206.56505
20200421T1000,3.7585104,196.69925
20200421T1100,3.0758414,200.55605
20200421T1200,3.9763298,185.19443
20200421T1300,5.8048253,172.87498
20200421T1400,6.849467,176.98721
20200421T1500,7.5942073,174.55966
20200421T1600,8.473393,167.73523
20200421T1700,10.144082,152.52557
20200421T1800,12.096214,143.47115
20200421T1900,15.30741,131.18591
20200421T2000,11.304229,80.83765
20200421T2100,13.627795,77.79953
20200421T2200,11.367109,79.04594
20200421T2300,11.212135,84.47246
20200422T0000,11.159999,89.99999
20200422T0100,12.015589,98.61565
20200422T0200,11.631956,111.80141
20200422T0300,10.296251,126.46923
20200422T0400,8.891343,148.24051
20200422T0500,6.4799995,180.0
20200422T0600,5.6233797,230.19443
20200422T0700,10.105681,265.91437
20200422T0800,13.910169,280.43747
20200422T0900,10.823973,273.8141
20200422T1000,13.896187,286.55707
20200422T1100,18.089775,301.1593
20200422T1200,17.555307,298.1416
20200422T1300,17.76081,287.70044
20200422T1400,18.486622,276.70984
20200422T1500,19.803272,271.04163
20200422T1600,21.24305,269.029
20200422T1700,23.4,270.0
20200422T1800,24.490587,271.6847
20200422T1900,23.78453,272.60257
20200422T2000,14.77755,272.79272
20200422T2100,10.308831,257.90524
20200422T2200,10.787993,244.29004
20200422T2300,14.404499,271.4321
20200423T0000,21.068459,303.147
20200423T0100,33.061253,324.75244
20200423T0200,30.267845,333.1302
20200423T0300,24.735432,338.66315
20200423T0400,19.469975,340.55997
20200423T0500,18.35647,334.44003
20200423T0600,15.990646,328.81503
20200423T0700,15.408671,322.59467
20200423T0800,13.207634,287.4472
20200423T0900,9.0645685,276.84277
20200423T1000,8.669949,274.76364
20200423T1100,7.5685663,295.3462
20200423T1200,7.072878,284.74356
20200423T1300,7.9526596,275.19443
20200423T1400,9.114471,279.09027
20200423T1500,10.538843,277.85333
20200423T1600,10.8955765,277.59464
20200423T1700,11.966953,276.91122
20200423T1800,13.004921,274.76364
20200423T1900,13.004921,274.76364
20200423T2000,11.631956,291.8014
20200423T2100,7.754637,291.8014
20200423T2200,4.2136917,289.98312
20200423T2300,2.8799999,270.0
20200424T0000,2.5959969,236.30994
20200424T0100,1.8,233.1301
20200424T0200,2.1897945,260.5377
20200424T0300,3.96,270.0
20200424T0400,5.4119864,273.8141
20200424T0500,6.87779,276.009
20200424T0600,7.2359104,275.7106
20200424T0700,7.928178,272.60257
20200424T0800,7.5942073,275.44034
20200424T0900,9.0,270.0
20200424T1000,8.64,270.0
20200424T1100,11.966953,291.16125
20200424T1200,13.905509,291.2505
20200424T1300,14.759999,282.6804
20200424T1400,16.09969,280.30487
20200424T1500,16.87398,281.0702
20200424T1600,16.327497,284.03625
20200424T1700,15.281989,285.01837
20200424T1800,13.450708,285.5241
20200424T1900,11.726277,287.8787
20200424T2000,7.928177,320.52753
20200424T2100,5.8048253,352.875
20200424T2200,4.198285,30.963745
20200424T2300,4.0249224,63.43495
20200425T0000,5.0142193,68.96249
20200425T0100,7.968939,71.56504
20200425T0200,10.966713,66.8014
20200425T0300,13.0447235,62.020523
20200425T0400,15.379206,69.443954
20200425T0500,15.716793,69.90477
20200425T0600,14.917212,70.25316
20200425T0700,15.484185,72.40757
20200425T0800,15.379206,57.425934
20200425T0900,14.81259,64.05769
20200425T1000,14.707222,68.45902
20200425T1100,14.24163,69.274445
20200425T1200,13.441071,69.62356
20200425T1300,14.24163,69.274445
20200425T1400,12.904882,67.011284
20200425T1500,12.904882,67.011284
20200425T1600,11.966953,68.83874
20200425T1700,13.896187,73.442924
20200425T1800,13.358861,75.96376
20200425T1900,14.917212,81.67435
20200425T2000,12.015589,81.38435
20200425T2100,13.358861,75.96376
20200425T2200,15.725037,74.054596
20200425T2300,17.193533,70.426865
20200426T0000,15.463246,65.22487
20200426T0100,14.973577,62.818893
20200426T0200,13.849477,62.102737
20200426T0300,14.512064,66.61478
20200426T0400,13.708391,66.8014
20200426T0500,14.039999,67.38013
20200426T0600,13.1041975,69.0755
20200426T0700,12.768586,68.49856
20200426T0800,10.296251,53.53076
20200426T0900,10.805998,60.018356
20200426T1000,10.703569,70.346176
20200426T1100,11.367109,79.04594
20200426T1200,11.885453,88.26429
20200426T1300,12.605142,91.63657
20200426T1400,12.964998,91.59113
20200426T1500,14.4,89.99999
20200426T1600,15.119999,89.99999
20200426T1700,17.28,89.99999
20200426T1800,17.64,89.99999
20200426T1900,19.08,89.99999
20200426T2000,15.192682,76.29304
20200426T2100,13.570615,68.19859
20200426T2200,12.979984,70.55996
20200426T2300,13.979871,78.11134
20200427T0000,14.205182,81.25384
20200427T0100,13.722565,85.48601
20200427T0200,12.599999,89.99999
20200427T0300,12.015589,98.61565
20200427T0400,11.384199,108.434944
20200427T0500,10.787993,115.70995
20200427T0600,9.693296,121.32869
20200427T0700,9.726664,128.991
20200427T0800,9.931042,136.4688
20200427T0900,9.793059,143.97263
20200427T1000,8.39657,149.03624
20200427T1100,7.10031,149.53445
20200427T1200,7.5942082,148.57043
20200427T1300,8.209263,142.12502
20200427T1400,7.9932966,144.16235
20200427T1500,7.42159,157.16635
20200427T1600,7.0911775,156.0375
20200427T1700,7.7043357,142.59465
20200427T1800,12.819235,128.15723
20200427T1900,17.87718,115.016884
20200427T2000,23.906818,108.434944
20200427T2100,25.671307,104.620865
20200427T2200,23.233253,102.52881
20200427T2300,21.479666,103.570435