location,Las Cañadas,Las Cañadas
lat,20.33322,20.33322
lon,-102.18750,-102.18750
asl,1734.639,1734.639
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Las Cañadas Wind Speed [80 m],Las Cañadas Wind Direction [80 m]
20200426T0000,16.575644,235.61966
20200426T0100,11.923557,241.11342
20200426T0200,8.4963045,233.61565
20200426T0300,6.1305785,220.23636
20200426T0400,4.6800003,202.61987
20200426T0500,4.3349743,175.23636
20200426T0600,4.8433046,138.01279
20200426T0700,10.538843,97.85332
20200426T0800,12.371645,98.36588
20200426T0900,9.0645685,96.84277
20200426T1000,10.041354,104.534454
20200426T1100,9.028754,113.498566
20200426T1200,4.5820518,135.0
20200426T1300,2.52,180.0
20200426T1400,2.5455842,225.0
20200426T1500,2.0991426,239.03624
20200426T1600,1.1384199,288.43497
20200426T1700,0.71999997,89.99999
20200426T1800,3.219938,116.56505
20200426T1900,7.42159,112.83366
20200426T2000,13.0447235,117.97947
20200426T2100,16.394829,109.230675
20200426T2200,16.676977,103.73626
20200426T2300,16.039202,99.03948
20200427T0000,15.188415,95.44032
20200427T0100,14.044615,91.468796
20200427T0200,13.679999,89.99999
20200427T0300,13.32,89.99999
20200427T0400,13.679999,89.99999
20200427T0500,13.679999,89.99999
20200427T0600,13.679999,89.99999
20200427T0700,14.05845,87.06432
20200427T0800,10.1376915,96.1155
20200427T0900,7.8625183,105.9454
20200427T1000,8.089993,110.854454
20200427T1100,7.289445,122.90524
20200427T1200,6.3690495,137.2906
20200427T1300,3.319036,167.47119
20200427T1400,2.3051248,218.65982
20200427T1500,3.6,233.1301
20200427T1600,5.0911684,261.8699
20200427T1700,6.130579,266.63354
20200427T1800,5.8603754,259.38034
20200427T1900,6.12,241.92752
20200427T2000,8.587338,123.023865
20200427T2100,10.805998,119.981636
20200427T2200,11.440979,114.14554
20200427T2300,10.464797,116.56505
20200428T0000,9.028754,113.498566
20200428T0100,7.8954163,114.22774
20200428T0200,6.439876,116.56505
20200428T0300,5.154415,114.77514
20200428T0400,3.319036,130.60129
20200428T0500,2.9024127,172.87498
20200428T0600,3.8939953,213.69006
20200428T0700,5.1919937,236.30994
20200428T0800,9.585739,235.71313
20200428T0900,5.692099,235.30484
20200428T1000,8.209263,254.74487
20200428T1100,11.542478,266.42368
20200428T1200,12.6462,274.8991
20200428T1300,12.57426,283.2405
20200428T1400,11.090103,283.13403
20200428T1500,11.183201,273.6914
20200428T1600,12.620554,266.7295
20200428T1700,14.917212,261.67435
20200428T1800,17.163355,260.34012
20200428T1900,20.774214,261.02737
20200428T2000,13.896187,253.44293
20200428T2100,18.899143,252.25534
20200428T2200,20.176065,254.47589
20200428T2300,20.721119,262.01068
20200429T0000,18.36353,271.12332
20200429T0100,16.24394,282.80426
20200429T0200,13.661038,288.43497
20200429T0300,10.587917,287.8189
20200429T0400,8.707238,277.125
20200429T0500,8.28,270.0
20200429T0600,7.5599995,270.0
20200429T0700,6.130579,273.36646
20200429T0800,6.162207,263.29016
20200429T0900,2.7416782,246.8014
20200429T1000,3.219938,243.43495
20200429T1100,3.8773184,248.1986
20200429T1200,5.2416787,254.0546
20200429T1300,7.9526596,264.80557
20200429T1400,9.779817,263.65982
20200429T1500,10.483357,254.0546
20200429T1600,11.165805,249.22775
20200429T1700,11.440979,245.85446
20200429T1800,10.787993,244.29004
20200429T1900,10.685391,237.38075
20200429T2000,9.36,270.0
20200429T2100,2.7416782,293.1986
20200429T2200,6.4096174,51.842773
20200429T2300,15.496736,59.26451
20200430T0000,19.513195,60.124
20200430T0100,19.826164,60.64225
20200430T0200,19.770523,56.88865
20200430T0300,19.914215,49.398697
20200430T0400,22.26477,50.906143
20200430T0500,24.912935,52.633324
20200430T0600,22.608458,52.76516
20200430T0700,20.380579,54.344658
20200430T0800,13.039754,83.65981
20200430T0900,12.261158,86.63353
20200430T1000,13.797912,97.49586
20200430T1100,13.009903,104.42077
20200430T1200,11.923557,118.88658
20200430T1300,9.422101,136.54816
20200430T1400,6.379216,163.61046
20200430T1500,6.2145634,190.00798
20200430T1600,8.699793,204.44395
20200430T1700,10.883676,214.2157
20200430T1800,12.538134,219.17366
20200430T1900,13.513193,221.7603
20200430T2000,10.805999,91.90914
20200430T2100,20.16,89.99999
20200430T2200,29.947151,99.68878
20200430T2300,26.727423,117.255325
20200501T0000,20.150354,138.62148
20200501T0100,15.496736,149.26451
20200501T0200,10.464797,153.43495
20200501T0300,6.696387,143.74615
20200501T0400,4.829907,116.56505
20200501T0500,5.7599998,89.99999
20200501T0600,7.69592,79.2157
20200501T0700,8.557102,75.37913
20200501T0800,4.3498964,65.55604
20200501T0900,4.896529,72.89727
20200501T1000,4.6938252,94.398705
20200501T1100,3.396233,122.00538
20200501T1200,1.484318,165.96376
20200501T1300,2.0991426,239.03624
20200501T1400,2.9024127,262.875
20200501T1500,3.6179552,264.28943
20200501T1600,5.3999996,270.0
20200501T1700,7.5599995,270.0
20200501T1800,6.87779,276.009
20200501T1900,6.4799995,270.0
20200501T2000,3.319036,347.4712
20200501T2100,2.9024127,209.74489
20200501T2200,6.489992,183.17982
20200501T2300,7.928178,182.60257
20200502T0000,7.342588,191.30994
20200502T0100,6.9527545,201.2505
20200502T0200,5.634891,206.56505
20200502T0300,4.6938257,212.47119
20200502T0400,4.6102495,218.65982
20200502T0500,4.072935,225.0
20200502T0600,3.0547013,225.0
20200502T0700,2.3051248,231.3402
20200502T0800,5.154415,245.22485
20200502T0900,3.8939953,236.30994
20200502T1000,6.5693827,260.5377
20200502T1100,9.3669195,267.7974
20200502T1200,10.08,270.0
20200502T1300,8.759178,279.46234
20200502T1400,5.6920996,288.43497
20200502T1500,4.32,270.0
20200502T1600,3.6179552,275.7106
20200502T1700,3.96,270.0
20200502T1800,4.3349743,265.23636
20200502T1900,7.342588,281.30994
20200502T2000,10.805998,299.98163
20200502T2100,12.599998,306.8699
20200502T2200,10.787993,295.70996
20200502T2300,7.5942073,264.5597
20200503T0000,7.145796,229.08562
20200503T0100,7.9036193,210.06859
20200503T0200,8.217153,208.81079
20200503T0300,8.39657,210.96376
20200503T0400,8.714677,218.29016
20200503T0500,8.913181,223.36343
20200503T0600,7.8954163,226.84761
20200503T0700,7.145796,229.08562
20200503T0800,5.6233797,230.19443
20200503T0900,3.319036,229.39871
20200503T1000,5.495161,238.3925
20200503T1100,9.449572,252.25534
20200503T1200,10.829958,248.55226
20200503T1300,11.384199,251.56506
20200503T1400,10.661107,258.31064
20200503T1500,9.178235,258.69006
20200503T1600,8.473393,257.73523
20200503T1700,8.707238,262.875
20200503T1800,9.007196,267.7094
20200503T1900,9.028754,265.4261
20200503T2000,9.422101,263.41806
20200503T2100,11.609651,262.875
20200503T2200,13.679999,270.0
20200503T2300,15.137133,272.72632