location,Los Almárcigos,Los Almárcigos
lat,18.99989,18.99989
lon,-103.59375,-103.59375
asl,730.760,730.760
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Los Almárcigos Wind Speed [80 m],Los Almárcigos Wind Direction [80 m]
20200420T0000,10.594036,260.2176
20200420T0100,7.9526596,264.80557
20200420T0200,6.130579,266.63354
20200420T0300,4.3349743,265.23636
20200420T0400,2.9024127,262.875
20200420T0500,1.4399999,270.0
20200420T0600,0.0,180.0
20200420T0700,3.6179552,95.71059
20200420T0800,4.3349743,94.76365
20200420T0900,3.6179552,95.71059
20200420T1000,3.5455887,156.0375
20200420T1100,5.506941,191.30994
20200420T1200,7.24486,206.56505
20200420T1300,9.726664,218.991
20200420T1400,11.212135,227.60257
20200420T1500,15.408671,232.59465
20200420T1600,17.57744,235.00798
20200420T1700,20.172853,235.1755
20200420T1800,20.674156,234.92624
20200420T1900,21.889065,233.69551
20200420T2000,21.889065,233.69551
20200420T2100,22.9724,237.80426
20200420T2200,18.514643,243.43495
20200420T2300,14.707222,248.45903
20200421T0000,10.24578,251.56506
20200421T0100,6.830519,251.56506
20200421T0200,3.7585104,253.30075
20200421T0300,0.8049845,243.43495
20200421T0400,1.484318,104.03624
20200421T0500,3.96,89.99999
20200421T0600,5.771239,86.42367
20200421T0700,8.64,89.99999
20200421T0800,7.628263,70.70995
20200421T0900,6.489992,86.82017
20200421T1000,6.379216,106.38954
20200421T1100,6.9153743,128.6598
20200421T1200,6.489992,160.55997
20200421T1300,8.825508,191.7683
20200421T1400,9.693296,211.32869
20200421T1500,12.475961,223.83087
20200421T1600,14.565548,230.01312
20200421T1700,17.57744,235.00798
20200421T1800,19.272614,237.20047
20200421T1900,21.794127,239.19855
20200421T2000,20.49156,251.56506
20200421T2100,21.407139,250.34618
20200421T2200,19.130875,250.20113
20200421T2300,15.141414,251.99585
20200422T0000,11.503113,249.86371
20200422T0100,8.766573,250.82098
20200422T0200,5.0142193,248.9625
20200422T0300,1.8,233.1301
20200422T0400,1.2979984,123.69006
20200422T0500,3.319036,102.52881
20200422T0600,5.4477882,82.40536
20200422T0700,7.754637,68.19859
20200422T0800,5.692099,55.304832
20200422T0900,5.815978,68.19859
20200422T1000,5.04,89.99999
20200422T1100,4.1046314,127.874985
20200422T1200,5.0911684,171.8699
20200422T1300,7.628263,199.29004
20200422T1400,8.4963045,216.38435
20200422T1500,10.464797,229.18492
20200422T1600,13.684735,234.63754
20200422T1700,17.0763,235.30484
20200422T1800,18.875126,235.0975
20200422T1900,20.969807,235.49149
20200422T2000,20.447239,243.8861
20200422T2100,20.991426,247.83365
20200422T2200,18.556595,251.91656
20200422T2300,14.84318,255.96376
20200423T0000,11.792404,257.66092
20200423T0100,9.346143,254.35776
20200423T0200,6.162207,263.29016
20200423T0300,2.52,270.0
20200423T0400,0.35999998,89.99999
20200423T0500,2.8799999,89.99999
20200423T0600,5.04,89.99999
20200423T0700,6.8399997,89.99999
20200423T0800,5.315336,61.699234
20200423T0900,4.73506,81.25384
20200423T1000,3.5455887,156.0375
20200423T1100,6.9899354,191.88866
20200423T1200,8.854829,206.56505
20200423T1300,11.304229,217.23483
20200423T1400,11.966954,226.21889
20200423T1500,14.904173,232.85332
20200423T1600,17.174677,236.97614
20200423T1700,19.881649,238.32454
20200423T1800,20.497883,239.3814
20200423T1900,20.68356,238.52316
20200423T2000,19.33639,245.82089
20200423T2100,20.056877,248.9625
20200423T2200,17.309973,253.07248
20200423T2300,14.241629,253.85567
20200424T0000,11.298495,247.52057
20200424T0100,9.339208,242.44719
20200424T0200,7.5942082,238.57043
20200424T0300,4.510787,241.38954
20200424T0400,1.1384199,251.56506
20200424T0500,1.835647,78.69006
20200424T0600,4.452954,75.96376
20200424T0700,6.489992,70.55996
20200424T0800,6.297428,59.036255
20200424T0900,5.3999996,89.99999
20200424T1000,5.1919937,123.69006
20200424T1100,5.0142193,158.9625
20200424T1200,6.87779,186.009
20200424T1300,9.339208,207.55281
20200424T1400,10.587918,215.31122
20200424T1500,12.738099,222.7094
20200424T1600,13.783817,229.23639
20200424T1700,16.489416,233.88066
20200424T1800,18.171976,236.30994
20200424T1900,20.073025,237.45
20200424T2000,20.774214,242.10274
20200424T2100,20.858265,248.7495
20200424T2200,17.555305,254.53879
20200424T2300,14.561099,261.46924
20200425T0000,11.183201,266.30862
20200425T0100,7.9526596,264.80557
20200425T0200,4.802999,257.00537
20200425T0300,1.609969,243.43495
20200425T0400,1.1384199,108.434944
20200425T0500,3.96,89.99999
20200425T0600,5.8603754,79.38034
20200425T0700,8.209263,74.74488
20200425T0800,7.729527,62.241455
20200425T0900,7.072878,75.25644
20200425T1000,7.5599995,89.99999
20200425T1100,7.172949,107.52557
20200425T1200,6.4096174,141.84277
20200425T1300,7.5942073,174.55966
20200425T1400,8.905908,194.03624
20200425T1500,12.24,208.0725
20200425T1600,13.896187,216.57303
20200425T1700,17.057314,224.1449
20200425T1800,17.935081,231.5198
20200425T1900,19.386593,238.67131
20200425T2000,21.407139,250.34618
20200425T2100,20.176065,254.47589
20200425T2200,17.163355,260.34012
20200425T2300,14.05845,267.06433
20200426T0000,10.1376915,263.8845
20200426T0100,6.638072,257.4712
20200426T0200,3.5455887,246.0375
20200426T0300,1.1384199,198.43495
20200426T0400,1.4399999,89.99999
20200426T0500,3.671294,78.69006
20200426T0600,5.937272,75.96376
20200426T0700,8.557102,75.37913
20200426T0800,10.805998,60.018356
20200426T0900,11.435313,61.821404
20200426T1000,10.483357,74.054596
20200426T1100,8.647496,87.61405
20200426T1200,6.379216,106.38954
20200426T1300,5.3999996,143.1301
20200426T1400,6.87779,173.991
20200426T1500,9.449572,197.74467
20200426T1600,11.090103,215.75389
20200426T1700,15.03835,227.91084
20200426T1800,17.57744,235.00798
20200426T1900,21.30093,239.53445
20200426T2000,23.540806,246.57132
20200426T2100,21.9718,251.86191
20200426T2200,18.161278,256.23923
20200426T2300,14.154915,262.69424
20200427T0000,10.086427,267.9546
20200427T0100,6.519877,276.34018
20200427T0200,3.319036,282.5288
20200427T0300,1.2979984,303.69006
20200427T0400,0.0,180.0
20200427T0500,1.8,89.99999
20200427T0600,3.6179552,84.289406
20200427T0700,5.506941,78.69006
20200427T0800,6.9899354,78.11134
20200427T0900,7.6367526,81.869896
20200427T1000,4.452954,104.03624
20200427T1100,3.2399998,180.0
20200427T1200,5.495161,211.6075
20200427T1300,9.1641035,225.0
20200427T1400,16.075521,235.95407
20200427T1500,22.782625,238.57043
20200427T1600,27.86921,241.44861
20200427T1700,30.945345,240.75117
20200427T1800,25.992397,239.17233
20200427T1900,26.368616,237.82878
20200427T2000,24.962307,236.7683
20200427T2100,24.57511,238.17256
20200427T2200,19.513195,240.12401
20200427T2300,14.654254,242.1759