location,San Ignacio,San Ignacio
lat,27.33321,27.33321
lon,-113.43750,-113.43750
asl,128.349,128.349
variable,Wind Speed,Wind Direction
unit,km/h,Â°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,San Ignacio Wind Speed [80 m],San Ignacio Wind Direction [80 m]
20200426T0000,12.287555,275.04245
20200426T0100,10.853866,275.7106
20200426T0200,9.47012,278.74615
20200426T0300,7.9932976,277.76517
20200426T0400,7.2805495,278.53076
20200426T0500,6.130579,273.36646
20200426T0600,5.4119864,273.8141
20200426T0700,4.68,270.0
20200426T0800,4.32,270.0
20200426T0900,2.968636,255.96376
20200426T1000,4.802999,257.00537
20200426T1100,7.2359104,264.28943
20200426T1200,9.726665,267.8789
20200426T1300,11.542478,266.42368
20200426T1400,15.876775,266.0995
20200426T1500,19.245697,262.4762
20200426T1600,22.553936,261.74057
20200426T1700,25.153671,260.9421
20200426T1800,28.943642,264.28943
20200426T1900,30.599998,270.0
20200426T2000,26.661882,272.32153
20200426T2100,17.28,270.0
20200426T2200,13.684735,268.49255
20200426T2300,11.659777,261.11935
20200427T0000,11.090103,256.86597
20200427T0100,10.137692,253.49564
20200427T0200,9.449572,252.25534
20200427T0300,8.654986,253.07248
20200427T0400,8.209263,254.74487
20200427T0500,7.2805495,261.46924
20200427T0600,7.2359104,275.7106
20200427T0700,10.24578,288.43494
20200427T0800,8.350138,277.4314
20200427T0900,7.2,270.0
20200427T1000,8.64,270.0
20200427T1100,10.105681,274.08563
20200427T1200,11.609651,277.125
20200427T1300,13.556282,280.71313
20200427T1400,16.808569,279.8658
20200427T1500,19.602652,277.38605
20200427T1600,22.505037,277.3524
20200427T1700,25.364037,276.5198
20200427T1800,29.17777,279.2299
20200427T1900,24.066206,291.96057
20200427T2000,18.448023,287.0205
20200427T2100,14.685176,281.30994
20200427T2200,13.698934,273.0128
20200427T2300,11.879999,270.0
20200428T0000,10.823973,266.1859
20200428T0100,8.669949,265.23636
20200428T0200,7.5942073,264.5597
20200428T0300,6.489992,266.8202
20200428T0400,6.12,270.0
20200428T0500,5.4477882,277.59464
20200428T0600,5.2416787,285.9454
20200428T0700,11.440978,282.72437
20200428T0800,9.3876505,274.3987
20200428T0900,7.5599995,270.0
20200428T1000,7.5685663,267.27368
20200428T1100,7.928178,267.39746
20200428T1200,9.36,270.0
20200428T1300,10.805999,271.90915
20200428T1400,13.397612,276.1702
20200428T1500,15.39184,280.7843
20200428T1600,17.651016,281.7683
20200428T1700,20.265795,282.30804
20200428T1800,23.233253,282.5288
20200428T1900,14.241629,286.14435
20200428T2000,14.154915,277.30576
20200428T2100,13.363711,274.63547
20200428T2200,12.979984,273.17984
20200428T2300,11.525623,271.78992
20200429T0000,11.165805,271.84763
20200429T0100,9.0,270.0
20200429T0200,7.5599995,270.0
20200429T0300,6.4799995,270.0
20200429T0400,5.3999996,270.0
20200429T0500,4.3349743,274.76364
20200429T0600,3.7585104,286.69925
20200429T0700,6.6185193,292.38013
20200429T0800,6.2145634,280.008
20200429T0900,5.771239,273.57632
20200429T1000,7.2,270.0
20200429T1100,7.92,270.0
20200429T1200,8.647496,267.61407
20200429T1300,8.311245,265.03027
20200429T1400,10.308831,257.90524
20200429T1500,12.57426,256.7595
20200429T1600,15.111424,257.61926
20200429T1700,17.81909,261.8699
20200429T1800,22.691425,268.1817
20200429T1900,14.408997,282.99463
20200429T2000,13.75558,276.009
20200429T2100,13.363711,274.63547
20200429T2200,12.261158,273.36646
20200429T2300,10.440001,270.0
20200430T0000,9.3669195,267.7974
20200430T0100,8.287822,267.51044
20200430T0200,7.928178,267.39746
20200430T0300,7.2,270.0
20200430T0400,7.208994,272.8624
20200430T0500,6.87779,276.009
20200430T0600,7.342588,281.30994
20200430T0700,10.390226,284.03625
20200430T0800,10.538843,277.85333
20200430T0900,7.5685663,272.72632
20200430T1000,7.928178,267.39746
20200430T1100,9.114471,260.90973
20200430T1200,10.8955765,262.40536
20200430T1300,10.829959,254.57785
20200430T1400,12.768586,248.49857
20200430T1500,17.114204,247.75098
20200430T1600,21.53089,249.44395
20200430T1700,24.933735,252.34988
20200430T1800,28.312117,258.2614
20200430T1900,14.440443,274.28915
20200430T2000,14.05845,272.93567
20200430T2100,13.679999,270.0
20200430T2200,12.620554,266.7295
20200430T2300,10.948973,260.5377
20200501T0000,10.8955765,262.40536
20200501T0100,9.746631,265.7636
20200501T0200,9.36,270.0
20200501T0300,7.92,270.0
20200501T0400,7.208994,272.8624
20200501T0500,5.771239,273.57632
20200501T0600,5.4477882,277.59464
20200501T0700,10.1376915,276.1155
20200501T0800,7.2,270.0
20200501T0900,6.4799995,270.0
20200501T1000,7.92,270.0
20200501T1100,8.287822,267.51044
20200501T1200,9.0645685,263.15723
20200501T1300,9.793058,252.89728
20200501T1400,13.32,251.07536
20200501T1500,16.516901,249.59012
20200501T1600,20.730501,249.67686
20200501T1700,24.248613,251.83405
20200501T1800,26.717722,255.96376
20200501T1900,17.106628,261.52887
20200501T2000,15.629972,262.05652
20200501T2100,14.264361,259.8245
20200501T2200,13.202726,258.99646
20200501T2300,11.525623,255.52971
20200502T0000,10.390226,255.96376
20200502T0100,8.654986,253.07248
20200502T0200,8.766573,250.82098
20200502T0300,7.968939,251.56506
20200502T0400,7.968939,251.56506
20200502T0500,6.830519,251.56506
20200502T0600,6.489992,250.55997
20200502T0700,10.182337,278.1301
20200502T0800,7.2359104,264.28943
20200502T0900,6.849467,266.9872
20200502T1000,8.12197,257.19574
20200502T1100,9.531505,259.11447
20200502T1200,11.609651,262.875
20200502T1300,14.04,270.0
20200502T1400,17.294992,272.38596
20200502T1500,21.316135,274.844
20200502T1600,26.478973,277.0284
20200502T1700,29.122198,278.53076
20200502T1800,31.1374,280.66034
20200502T1900,15.034041,286.69925
20200502T2000,12.979984,273.17984
20200502T2100,12.245294,268.3153
20200502T2200,11.901798,266.53177
20200502T2300,11.212135,264.47247
20200503T0000,10.08,270.0
20200503T0100,8.64,270.0
20200503T0200,8.28,270.0
20200503T0300,7.208994,272.8624
20200503T0400,7.771331,283.39252
20200503T0500,7.628263,289.29004
20200503T0600,8.699793,294.44397
20200503T0700,9.19939,300.57922
20200503T0800,9.693296,301.3287
20200503T0900,8.78872,304.99203
20200503T1000,9.826088,298.44293
20200503T1100,9.449572,287.7447
20200503T1200,11.013882,281.30994
20200503T1300,12.849528,281.30994
20200503T1400,15.463244,282.09476
20200503T1500,21.41319,286.607
20200503T1600,27.210379,287.7158
20200503T1700,30.96837,287.59244
20200503T1800,30.282827,288.00415
20200503T1900,19.13426,281.94418
20200503T2000,15.5843,276.6325
20200503T2100,12.979984,273.17984
20200503T2200,11.879999,270.0
20200503T2300,9.726665,267.8789