location,Sierra Tomóchic,Sierra Tomóchic
lat,28.33321,28.33321
lon,-107.81250,-107.81250
asl,2238.570,2238.570
variable,Wind Speed,Wind Direction
unit,km/h,°
level,80 m,80 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Sierra Tomóchic Wind Speed [80 m],Sierra Tomóchic Wind Direction [80 m]
20200420T0000,14.05845,256.67548
20200420T0100,11.631956,248.1986
20200420T0200,10.948973,242.59244
20200420T0300,10.495713,239.03624
20200420T0400,10.587918,234.68878
20200420T0500,9.793059,233.97263
20200420T0600,8.913181,223.36343
20200420T0700,8.14587,225.0
20200420T0800,8.404285,223.2643
20200420T0900,7.491114,234.78241
20200420T1000,14.33234,244.72229
20200420T1100,23.933908,254.29138
20200420T1200,26.82906,258.38852
20200420T1300,28.410364,261.25385
20200420T1400,30.413074,263.8845
20200420T1500,31.394394,266.0548
20200420T1600,32.44996,266.8202
20200420T1700,32.09052,266.78452
20200420T1800,32.058193,268.06943
20200420T1900,30.602118,269.32596
20200420T2000,27.359999,270.0
20200420T2100,24.130743,268.2902
20200420T2200,22.104116,263.4537
20200420T2300,17.227419,259.1597
20200421T0000,12.768586,248.49857
20200421T0100,10.990322,238.3925
20200421T0200,10.799999,233.1301
20200421T0300,10.233123,230.7106
20200421T0400,10.009036,232.30576
20200421T0500,9.178235,228.17984
20200421T0600,7.386582,226.97495
20200421T0700,6.28713,256.7595
20200421T0800,4.8965297,233.97263
20200421T0900,3.0547013,225.0
20200421T1000,5.634891,243.43495
20200421T1100,11.440979,245.85446
20200421T1200,15.596767,251.14685
20200421T1300,19.64558,256.2184
20200421T1400,24.569832,259.01935
20200421T1500,28.82249,260.65533
20200421T1600,32.43398,261.06042
20200421T1700,34.10133,259.04596
20200421T1800,35.105072,256.96136
20200421T1900,35.281837,261.78723
20200421T2000,31.616526,262.14667
20200421T2100,26.987997,260.78897
20200421T2200,25.567604,260.27243
20200421T2300,23.863409,258.69006
20200422T0000,19.829433,254.1975
20200422T0100,19.386591,254.93152
20200422T0200,19.211996,257.00537
20200422T0300,19.35314,260.36246
20200422T0400,20.991426,264.09387
20200422T0500,20.598795,264.98688
20200422T0600,19.917469,263.77417
20200422T0700,17.651016,258.23172
20200422T0800,11.841756,250.46335
20200422T0900,19.13426,258.05585
20200422T1000,31.92654,262.875
20200422T1100,33.908863,266.34778
20200422T1200,36.748222,267.75427
20200422T1300,38.546906,267.8591
20200422T1400,41.406258,269.00366
20200422T1500,42.841507,269.51855
20200422T1600,43.56,270.0
20200422T1700,42.121536,270.4897
20200422T1800,40.018333,273.09406
20200422T1900,39.254856,281.10382
20200422T2000,31.70658,282.45825
20200422T2100,23.510508,281.482
20200422T2200,20.617662,282.09476
20200422T2300,16.520823,281.30994
20200423T0000,14.081478,274.3987
20200423T0100,10.446206,268.0251
20200423T0200,6.830519,251.56506
20200423T0300,5.1165614,230.7106
20200423T0400,4.39436,214.99202
20200423T0500,4.3498964,204.44395
20200423T0600,4.1046314,195.25513
20200423T0700,0.8049845,206.56505
20200423T0800,3.2399998,180.0
20200423T0900,1.4399999,180.0
20200423T1000,0.0,180.0
20200423T1100,2.0991426,300.96378
20200423T1200,6.0347,287.35403
20200423T1300,12.303366,290.55603
20200423T1400,18.03237,296.0535
20200423T1500,21.900904,295.3014
20200423T1600,24.819122,293.9625
20200423T1700,25.872454,291.20923
20200423T1800,26.758923,289.6538
20200423T1900,29.374763,289.32318
20200423T2000,25.071096,285.8324
20200423T2100,21.046917,282.84772
20200423T2200,18.228943,279.09027
20200423T2300,16.039202,279.0395
20200424T0000,11.183201,273.6914
20200424T0100,6.519877,263.65982
20200424T0200,4.2136917,250.0169
20200424T0300,3.096837,234.46233
20200424T0400,3.096837,234.46233
20200424T0500,2.4149535,243.43495
20200424T0600,2.0991426,239.03624
20200424T0700,7.2805495,261.46924
20200424T0800,5.4477882,262.40536
20200424T0900,4.32,270.0
20200424T1000,7.172949,287.52557
20200424T1100,10.990322,301.6075
20200424T1200,11.923557,298.8866
20200424T1300,13.37825,293.80597
20200424T1400,17.533146,289.17902
20200424T1500,21.9718,288.1381
20200424T1600,26.554728,285.732
20200424T1700,29.337238,284.20676
20200424T1800,30.735231,283.54794
20200424T1900,31.956968,292.52057
20200424T2000,27.811018,291.2505
20200424T2100,23.565567,288.71173
20200424T2200,22.206486,289.90375
20200424T2300,20.188908,291.99115
20200425T0000,16.09969,296.56506
20200425T0100,9.021574,298.61047
20200425T0200,6.151683,290.55603
20200425T0300,4.802999,282.99463
20200425T0400,4.1046314,285.25513
20200425T0500,3.4152596,288.43497
20200425T0600,3.0758414,290.55603
20200425T0700,5.8603754,349.38034
20200425T0800,5.0142193,338.9625
20200425T0900,4.2136917,340.0169
20200425T1000,4.68,360.0
20200425T1100,3.9763298,354.8056
20200425T1200,5.1919937,326.30994
20200425T1300,7.127636,315.0
20200425T1400,8.435069,309.80557
20200425T1500,10.383987,303.69006
20200425T1600,11.592894,306.1582
20200425T1700,12.181624,304.1597
20200425T1800,12.979984,303.69006
20200425T1900,14.565548,309.98688
20200425T2000,14.291592,310.91437
20200425T2100,11.720751,317.48956
20200425T2200,8.534353,332.35403
20200425T2300,7.928178,357.39746
20200426T0000,9.0,16.260193
20200426T0100,10.009036,37.69423
20200426T0200,10.296251,53.53076
20200426T0300,10.495713,67.83366
20200426T0400,11.367109,79.04594
20200426T0500,10.799999,89.99999
20200426T0600,11.252519,97.35238
20200426T0700,10.829959,105.42216
20200426T0800,7.9932976,97.76516
20200426T0900,12.303366,110.556046
20200426T1000,16.575644,124.38034
20200426T1100,17.057314,134.1449
20200426T1200,15.408671,142.59465
20200426T1300,12.224107,166.373
20200426T1400,10.365251,200.32314
20200426T1500,11.246759,230.19443
20200426T1600,12.904882,247.01129
20200426T1700,17.106628,261.52887
20200426T1800,23.042812,270.89517
20200426T1900,34.417206,285.78076
20200426T2000,28.483257,286.14435
20200426T2100,24.569832,280.98065
20200426T2200,21.791153,277.59464
20200426T2300,18.03237,273.43362
20200427T0000,14.471821,264.28943
20200427T0100,11.043261,250.9744
20200427T0200,10.086427,235.1755
20200427T0300,8.654987,225.0
20200427T0400,7.386582,226.97495
20200427T0500,6.1305785,229.76364
20200427T0600,5.3999996,233.1301
20200427T0700,4.198285,239.03624
20200427T0800,3.7064266,240.9454
20200427T0900,2.52,270.0
20200427T1000,6.130579,273.36646
20200427T1100,10.308831,257.90524
20200427T1200,13.779114,250.14479
20200427T1300,16.965895,252.7185
20200427T1400,20.008356,261.72412
20200427T1500,22.7057,267.27368
20200427T1600,26.28,270.0
20200427T1700,28.100763,272.2026
20200427T1800,30.676142,274.03772
20200427T1900,31.845251,275.8395
20200427T2000,30.453527,276.78897
20200427T2100,28.943642,275.7106
20200427T2200,27.908709,276.66666
20200427T2300,24.993439,281.63364